product_name,review,rating
Wireless Mouse,"Five stars from me!, Would not buy this again., Five stars from me!, Would not buy this again., Great quality and affordable., Exceeded my expectations., Great quality and affordable.",3
Bluetooth Speaker,"Absolutely love this product!, Highly recommend it to everyone., Five stars from me!, Waste of time and money., Exceeded my expectations., Waste of time and money., Had high hopes but it failed.",3
Laptop Stand,"Had high hopes but it failed., Works perfectly as expected., Stopped working after a week., Works perfectly as expected., Had high hopes but it failed., Not worth the money., Great quality and affordable.",2
USB-C Hub,"Great quality and affordable., Five stars from me!, Five stars from me!, Very disappointed with the quality., Highly recommend it to everyone., Very disappointed with the quality., Five stars from me!",4
Noise Cancelling Headphones,"Exceeded my expectations., Five stars from me!, Not worth the money., Stopped working after a week., Highly recommend it to everyone., Waste of time and money., Exceeded my expectations.",2
Fitness Tracker,"Very disappointed with the quality., Highly recommend it to everyone., Waste of time and money., Had high hopes but it failed., Works perfectly as expected., Works perfectly as expected., Stopped working after a week.",2
Philips Electric Toothbrush,"Highly recommend it to everyone., Would not buy this again., Works perfectly as expected., Exceeded my expectations., Not worth the money., Five stars from me!, Great quality and affordable.",4
Dyson Hair Dryer,"Would not buy this again., Works perfectly as expected., Would not buy this again., Not worth the money., Works perfectly as expected., Works perfectly as expected., Five stars from me!",2
Revlon Hair Straightener,"Five stars from me!, Five stars from me!, Exceeded my expectations., Stopped working after a week., Absolutely love this product!, Very disappointed with the quality., Not worth the money.",2
L'Oreal Face Serum,"Had high hopes but it failed., Not worth the money., Great quality and affordable., Very disappointed with the quality., Works perfectly as expected., Highly recommend it to everyone., Exceeded my expectations.",2
Samsung Galaxy Buds,"Very disappointed with the quality., Stopped working after a week., Exceeded my expectations., Five stars from me!, Would not buy this again., Great quality and affordable., Very disappointed with the quality.",3
Apple iPhone 13,"Absolutely love this product!, Exceeded my expectations., Highly recommend it to everyone., Very disappointed with the quality., Would not buy this again., Had high hopes but it failed., Would not buy this again.",1
Canon EOS M50 Camera,"Works perfectly as expected., Great quality and affordable., Very disappointed with the quality., Works perfectly as expected., Waste of time and money., Had high hopes but it failed., Five stars from me!",4
Nivea Body Lotion,"Great quality and affordable., Very disappointed with the quality., Not worth the money., Not worth the money., Had high hopes but it failed., Exceeded my expectations., Not worth the money.",2
Sony WH-1000XM4,"Waste of time and money., Absolutely love this product!, Stopped working after a week., Waste of time and money., Stopped working after a week., Five stars from me!, Exceeded my expectations.",4
Instant Pot Duo,"Highly recommend it to everyone., Great quality and affordable., Absolutely love this product!, Had high hopes but it failed., Five stars from me!, Five stars from me!, Absolutely love this product!",1
Beats Studio3,"Exceeded my expectations., Works perfectly as expected., Very disappointed with the quality., Stopped working after a week., Would not buy this again., Works perfectly as expected., Stopped working after a week.",5
Anker Power Bank,"Exceeded my expectations., Would not buy this again., Very disappointed with the quality., Great quality and affordable., Very disappointed with the quality., Highly recommend it to everyone., Absolutely love this product!",1
